State,Obesity %
AK,29.924502402196296
AL,33.451856065993454
AR,31.67232918082295
AZ,24.93608473338203
CA,22.364609848152377
CO,20.410482684850916
CT,23.3493342994294
DE,29.08553118067538
FL,27.151941550534435
GA,28.860806541535027
GU,26.806083650190114
HI,21.84988252751329
IA,29.833264434339256
ID,26.569037656903767
IL,29.408060453400502
IN,30.851256099765045
KS,28.70856580242862
KY,32.73258645884072
LA,34.05631659056317
MA,22.162804515745695
MD,28.917880149407242
ME,28.55574408623615
MI,30.439121756487026
MN,26.504664012833462
MO,30.31153522312658
MS,35.89094449853943
MT,25.975548484340983
NC,29.40636474908201
ND,30.59909439219784
NE,31.298162418494368
NH,25.747663551401867
NJ,25.209095661265028
NM,26.328021248339972
NV,24.30939226519337
NY,27.695232524129864
OH,30.801517475179597
OK,30.02166064981949
OR,26.089354660783233
PA,28.6784140969163
PR,28.65032792544011
RI,25.10536925050394
SC,31.710573157707366
SD,28.940523669152075
TN,30.90643748986541
TX,29.951319497822187
UT,24.77247906807426
VA,27.749389024661188
VI,30.568720379146917
VT,25.137614678899084
WA,26.060733571779227
WI,29.842534623411115
WV,35.07201789959446
WY,25.928396708917056
